,filename,class,folder
3,545023ab-9344-4ff1-b0a7-ef5eda73893d_chan6_v0,Gunshot,gunshots
9,5f196719-60e8-4771-b3a1-62d26c577473_chan3_v0,Gunshot,gunshots
10,5f196719-60e8-4771-b3a1-62d26c577473_chan4_v0,Gunshot,gunshots
13,5f196719-60e8-4771-b3a1-62d26c577473_chan5_v0,Gunshot,gunshots
17,5f196719-60e8-4771-b3a1-62d26c577473_chan0_v0,Gunshot,gunshots
18,5f196719-60e8-4771-b3a1-62d26c577473_mean_v0,Gunshot,gunshots
19,5f196719-60e8-4771-b3a1-62d26c577473_chan1_v0,Gunshot,gunshots
23,5f196719-60e8-4771-b3a1-62d26c577473_chan6_v0,Gunshot,gunshots
26,634b3867-947e-4884-a063-e903a674e36b_v0,Gunshot,gunshots
28,64210409-df04-4e4b-bf3b-7afa05b59624_chan1_v0,Gunshot,gunshots
29,64210409-df04-4e4b-bf3b-7afa05b59624_chan3_v0,Gunshot,gunshots
30,6709ef65-65be-4440-859e-750796573269_v0,Gunshot,gunshots
31,64210409-df04-4e4b-bf3b-7afa05b59624_chan5_v0,Gunshot,gunshots
35,6f4ec5e4-de4a-4de7-bf2d-301b27d3f82f_v0,Gunshot,gunshots
37,6247aabe-2569-424f-9e7a-11fc0cc26fda_v0,Gunshot,gunshots
40,64210409-df04-4e4b-bf3b-7afa05b59624_chan0_v0,Gunshot,gunshots
43,6fbbd03e-f48e-4c39-a698-6bfab08c7e86_v0,Gunshot,gunshots
44,64210409-df04-4e4b-bf3b-7afa05b59624_chan6_v0,Gunshot,gunshots
45,64210409-df04-4e4b-bf3b-7afa05b59624_chan2_v0,Gunshot,gunshots
47,64210409-df04-4e4b-bf3b-7afa05b59624_chan4_v0,Gunshot,gunshots
48,6709ef65-65be-4440-859e-750796573269_v1,Gunshot,gunshots
55,7b2c5211-c425-4a2d-9989-f8d1946d2187_chan2_v0,Gunshot,gunshots
56,79c04fcc-da8d-4250-927b-9747b4f4354c_chan5_v0,Gunshot,gunshots
57,738f379b-fe71-4aea-a680-1f95dff38ef1_chan0_v0,Gunshot,gunshots
58,79c04fcc-da8d-4250-927b-9747b4f4354c_chan4_v0,Gunshot,gunshots
59,738f379b-fe71-4aea-a680-1f95dff38ef1_chan4_v0,Gunshot,gunshots
60,738f379b-fe71-4aea-a680-1f95dff38ef1_chan3_v0,Gunshot,gunshots
61,738f379b-fe71-4aea-a680-1f95dff38ef1_chan6_v0,Gunshot,gunshots
62,79c04fcc-da8d-4250-927b-9747b4f4354c_chan0_v0,Gunshot,gunshots
63,79c04fcc-da8d-4250-927b-9747b4f4354c_chan1_v0,Gunshot,gunshots
64,7b2c5211-c425-4a2d-9989-f8d1946d2187_chan0_v0,Gunshot,gunshots
65,79c04fcc-da8d-4250-927b-9747b4f4354c_chan3_v0,Gunshot,gunshots
67,79c04fcc-da8d-4250-927b-9747b4f4354c_chan2_v0,Gunshot,gunshots
71,738f379b-fe71-4aea-a680-1f95dff38ef1_chan2_v0,Gunshot,gunshots
72,738f379b-fe71-4aea-a680-1f95dff38ef1_chan5_v0,Gunshot,gunshots
73,738f379b-fe71-4aea-a680-1f95dff38ef1_chan1_v0,Gunshot,gunshots
74,7ad0b157-1fa7-44ec-a8e9-2de634a26a24_v1,Gunshot,gunshots
75,7b2c5211-c425-4a2d-9989-f8d1946d2187_chan1_v0,Gunshot,gunshots
76,83f9faea-4b8b-4b8f-be70-99eedb0f3ac9_chan2_v0,Gunshot,gunshots
79,7b2c5211-c425-4a2d-9989-f8d1946d2187_chan3_v0,Gunshot,gunshots
80,7b2c5211-c425-4a2d-9989-f8d1946d2187_chan6_v0,Gunshot,gunshots
81,7f307f6f-c8a2-4a29-a750-eee5fced123c_v0,Gunshot,gunshots
84,8af2c7a4-73b8-4149-805d-e8632e0c9e3c_chan0_v0,Gunshot,gunshots
85,880cac70-86c1-4369-8fce-808a92d86844_v1,Gunshot,gunshots
86,83f9faea-4b8b-4b8f-be70-99eedb0f3ac9_chan1_v0,Gunshot,gunshots
87,89d8058c-af35-4851-90e4-44aa7dcb8690_chan0_v0,Gunshot,gunshots
88,83f9faea-4b8b-4b8f-be70-99eedb0f3ac9_chan5_v0,Gunshot,gunshots
90,89d8134d-3ca8-4ac9-8020-76dd9c33a2da_chan4_v0,Gunshot,gunshots
91,8af2c7a4-73b8-4149-805d-e8632e0c9e3c_chan2_v0,Gunshot,gunshots
93,7b2c5211-c425-4a2d-9989-f8d1946d2187_chan5_v0,Gunshot,gunshots
94,894865fa-9e6a-4311-b378-142d65fadc05_v0,Gunshot,gunshots
95,83f9faea-4b8b-4b8f-be70-99eedb0f3ac9_chan3_v0,Gunshot,gunshots
97,89d8134d-3ca8-4ac9-8020-76dd9c33a2da_chan2_v0,Gunshot,gunshots
99,8af2c7a4-73b8-4149-805d-e8632e0c9e3c_chan1_v0,Gunshot,gunshots
100,89d8058c-af35-4851-90e4-44aa7dcb8690_mean_v0,Gunshot,gunshots
101,83f9faea-4b8b-4b8f-be70-99eedb0f3ac9_chan6_v0,Gunshot,gunshots
104,7b2c5211-c425-4a2d-9989-f8d1946d2187_mean_v0,Gunshot,gunshots
107,85a24c95-5a49-469d-a5a1-d8ca7554b663_v0,Gunshot,gunshots
108,880cac70-86c1-4369-8fce-808a92d86844_v0,Gunshot,gunshots
109,7f307f6f-c8a2-4a29-a750-eee5fced123c_v1,Gunshot,gunshots
110,880b3ce5-9c19-4c12-a813-b223bb4f2897_v1,Gunshot,gunshots
111,8af2c7a4-73b8-4149-805d-e8632e0c9e3c_mean_v0,Gunshot,gunshots
112,8eb79d18-178a-4095-9d7b-fd2bf513646e_v0,Gunshot,gunshots
113,906a6959-11b2-4a24-94c5-fce000ad00a8_chan6_v0,Gunshot,gunshots
114,906a6959-11b2-4a24-94c5-fce000ad00a8_chan1_v0,Gunshot,gunshots
116,906a6959-11b2-4a24-94c5-fce000ad00a8_chan3_v0,Gunshot,gunshots
117,954f92f3-f301-405f-8ab1-85adeb9df8eb_v0,Gunshot,gunshots
119,9480296f-8e6e-438e-a35d-76a2f24506df_chan3_v0,Gunshot,gunshots
121,9480296f-8e6e-438e-a35d-76a2f24506df_chan6_v0,Gunshot,gunshots
123,9480296f-8e6e-438e-a35d-76a2f24506df_mean_v0,Gunshot,gunshots
125,95ddb49b-cb04-4611-9d53-fdcc6227a660_v0,Gunshot,gunshots
126,906a6959-11b2-4a24-94c5-fce000ad00a8_chan0_v0,Gunshot,gunshots
130,906a6959-11b2-4a24-94c5-fce000ad00a8_mean_v0,Gunshot,gunshots
131,8af2c7a4-73b8-4149-805d-e8632e0c9e3c_chan3_v0,Gunshot,gunshots
132,8af2c7a4-73b8-4149-805d-e8632e0c9e3c_chan5_v0,Gunshot,gunshots
133,906a6959-11b2-4a24-94c5-fce000ad00a8_chan5_v0,Gunshot,gunshots
134,9480296f-8e6e-438e-a35d-76a2f24506df_chan1_v0,Gunshot,gunshots
136,906a6959-11b2-4a24-94c5-fce000ad00a8_chan4_v0,Gunshot,gunshots
137,9480296f-8e6e-438e-a35d-76a2f24506df_chan2_v0,Gunshot,gunshots
138,8af2c7a4-73b8-4149-805d-e8632e0c9e3c_chan4_v0,Gunshot,gunshots
139,906a6959-11b2-4a24-94c5-fce000ad00a8_chan2_v0,Gunshot,gunshots
140,9480296f-8e6e-438e-a35d-76a2f24506df_chan0_v0,Gunshot,gunshots
144,9ebba20a-9b86-462a-8ac8-4cdbf2fd4a70_chan4_v0,Gunshot,gunshots
145,9f2b713a-fa24-4b4e-a637-5e37278b893a_v0,Gunshot,gunshots
149,9ebba20a-9b86-462a-8ac8-4cdbf2fd4a70_chan1_v0,Gunshot,gunshots
150,9ebba20a-9b86-462a-8ac8-4cdbf2fd4a70_chan3_v0,Gunshot,gunshots
152,9ebba20a-9b86-462a-8ac8-4cdbf2fd4a70_chan6_v0,Gunshot,gunshots
153,9fe037df-d10f-48a0-b988-1a6202c10f46_chan2_v0,Gunshot,gunshots
154,9fe037df-d10f-48a0-b988-1a6202c10f46_chan1_v0,Gunshot,gunshots
155,9ebba20a-9b86-462a-8ac8-4cdbf2fd4a70_chan5_v0,Gunshot,gunshots
157,9fe037df-d10f-48a0-b988-1a6202c10f46_chan4_v0,Gunshot,gunshots
159,9ebba20a-9b86-462a-8ac8-4cdbf2fd4a70_chan0_v0,Gunshot,gunshots
162,9fe037df-d10f-48a0-b988-1a6202c10f46_chan1_v1,Gunshot,gunshots
163,9ebba20a-9b86-462a-8ac8-4cdbf2fd4a70_mean_v0,Gunshot,gunshots
165,a283ea70-649d-4c18-bf8b-ba4e8507455a_chan3_v0,Gunshot,gunshots
166,9fe037df-d10f-48a0-b988-1a6202c10f46_mean_v0,Gunshot,gunshots
167,a283ea70-649d-4c18-bf8b-ba4e8507455a_chan4_v0,Gunshot,gunshots
172,a264a706-edd4-436d-a0d4-ccb64421bdd7_chan3_v0,Gunshot,gunshots
174,a961ff63-cd65-49c8-9843-e0f0ee06b29a_v0,Gunshot,gunshots
176,a264a706-edd4-436d-a0d4-ccb64421bdd7_chan2_v0,Gunshot,gunshots
178,9fe037df-d10f-48a0-b988-1a6202c10f46_chan6_v1,Gunshot,gunshots
182,a264a706-edd4-436d-a0d4-ccb64421bdd7_chan6_v0,Gunshot,gunshots
186,a283ea70-649d-4c18-bf8b-ba4e8507455a_chan0_v0,Gunshot,gunshots
188,9fe037df-d10f-48a0-b988-1a6202c10f46_chan6_v0,Gunshot,gunshots
189,9fe037df-d10f-48a0-b988-1a6202c10f46_chan5_v0,Gunshot,gunshots
190,a264a706-edd4-436d-a0d4-ccb64421bdd7_chan1_v0,Gunshot,gunshots
194,a283ea70-649d-4c18-bf8b-ba4e8507455a_chan6_v0,Gunshot,gunshots
198,a283ea70-649d-4c18-bf8b-ba4e8507455a_chan1_v0,Gunshot,gunshots
201,b0a13fed-0f85-467f-9355-4b6b5f88969c_chan2_v0,Gunshot,gunshots
203,ba21cf97-f122-4ddd-b06d-1e1dc3600afb_v0,Gunshot,gunshots
205,b0a13fed-0f85-467f-9355-4b6b5f88969c_chan5_v0,Gunshot,gunshots
206,backup_38435a10-bcdd-4b6e-9f4d-080b7f3544c9__v1,Gunshot,gunshots
207,b0a13fed-0f85-467f-9355-4b6b5f88969c_chan4_v1,Gunshot,gunshots
212,b0a13fed-0f85-467f-9355-4b6b5f88969c_chan3_v0,Gunshot,gunshots
213,ba21cf97-f122-4ddd-b06d-1e1dc3600afb_v1,Gunshot,gunshots
214,b0a13fed-0f85-467f-9355-4b6b5f88969c_chan4_v0,Gunshot,gunshots
215,b0a13fed-0f85-467f-9355-4b6b5f88969c_chan1_v1,Gunshot,gunshots
216,b0a13fed-0f85-467f-9355-4b6b5f88969c_mean_v0,Gunshot,gunshots
218,backup_11a102da-fefb-45db-9f99-8060349008ec__v2,Gunshot,gunshots
219,b0a13fed-0f85-467f-9355-4b6b5f88969c_chan3_v1,Gunshot,gunshots
220,b0a13fed-0f85-467f-9355-4b6b5f88969c_chan6_v0,Gunshot,gunshots
221,b0a13fed-0f85-467f-9355-4b6b5f88969c_chan0_v0,Gunshot,gunshots
223,b0a13fed-0f85-467f-9355-4b6b5f88969c_chan1_v0,Gunshot,gunshots
227,backup_7c25238e-3006-484d-ba63-9b2bf0ca18f1__v0,Gunshot,gunshots
228,b5507c10-2cf1-4e65-8696-4ebcbde59485_v0,Gunshot,gunshots
230,backup_f235dd1e-d103-4639-b1e7-cdf0731fa121__v1,Gunshot,gunshots
232,backup_d9b053a4-1ce8-4d8c-b780-f321568d51e4__v0,Gunshot,gunshots
233,bb5a8b3f-3724-456e-83e1-55f5ca5ac68a_chan2_v0,Gunshot,gunshots
